Identificador,Nome,Linhas de Pesquisa,Membros de Corpo Editorial,Revisores de Periódico,Revisores de Projeto de Fomento,Áreas de Atuação
4835931153715441,Hildor José Seer,"Geologia Regional-Mapeamento geológico, Petrologia Ignea-Rochas vulcânicas cretáceas, Estratigrafia- Bacia Sanfranciscana, Geologia Estrutural, Geologia da Bacia SanFranciscana, MINERAIS PESADOS DA FORMAÇÃO CAPACETE, BACIA SÃO FRANCISCANA, CAMPOS ALTOS, MINAS GERAIS, Geologia da Folha Campos Altos, A Província Magmática Paraná-Etendeka no Brasil: relações temporais e petrológicas entre o magmatismo toleítico e alcalino e suas implicações geodinâmicas, CARACTERIZAÇÃO GEOLÓGICA, TEXTURAL E MINERALÓGICA DOS ARENITOS COM MAGNETITA E MINERAIS DE TÓRIO E URÂNIO DA BACIA SÃO FRANCISCANA NA REGIÃO DE CAMPOS ALTOS, MINAS GERAIS, CARACTERIZAÇÃO DOS MINERAIS PESADOS DOS CONGLOMERADOS E ARENITOS DAS FORMAÇÕES UBERABA E MARÍLIA, GRUPO BAURU, BACIA DO PARANÁ, NA REGIÃO DE PEIRÓPOLIS E UBERABA, MINAS GERAIS, Geologia das Folhas Uberaba e Igarapava, Geologia da Folha Sacramento, Geologia da Folha Araxá, Geologia da Folha Ibiá, Contribuição à Evolução Geotectônica da Faixa Brasília no Estado de Minas Gerais com base em análise estrutural e geocronologia U-Pb, Geologia da Folha Perdizes",0,0,0,"Geologia, Geoprocessamento, Geologia, Geologia Estrutural, Vulcanologia, Geologia"
4844317717801610,Divane Aparecida de Moraes Dantas,,0,0,0,
4847480687321987,Ana Maria de Resende Machado,"Aproveitamento de subprodutos do carvoejamento vegetal, Química Tecnológica - Tecnologia de Bebidas - Análise de Alimentos e Bebidas, Química de Alimentos, Química Verde",0,0,0,"Tecnologia de Alimentos, Química Orgânica, Química Analítica, Química Orgânica, Química Analítica, Ciência de Alimentos"
4851261811816950,Frederico Keizo Odan,,0,0,0,Engenharia Hidráulica
4852560491381130,Joao Bosco dos Santos,,0,0,0,"Metalurgia de Transformação, Fadiga Mecânica, Garantia de Controle de Qualidade"
4855128131146760,Paula Renata Melo Moreira,"Edição, Linguagem e Tecnologia",0,0,0,"Cultura letrada e edição, Literaturas de Língua Portuguesa, Teoria Literária"
4855470065329741,Anderson Fabian Ferreira Higino,Filosofia da Ciência e da Tecnologia,0,0,0,"Ensino-Aprendizagem, Ensino de Ciências, Física Geral, Teoria da Informação"
4858649448854003,Carlos Wagner Moura e Silva,"Análise de desgaste e acabamento superficial, via perfilometria tridimensional, no Laboratório de Perfilometria., Tropicalização de processos de produção de recobrimentos cerâmicos, via Spray Térmico., Desenvolvimento de produtos cerâmicos (barreira térmica e biomateriais)., Caracterização mecânica de filmes finos., Caracterização tribológica de filmes finos., Desenvolvimento de Filmes Tribológicos., Caracterização de filmes duros auto-lubrificantes do tipo DLC., Desenvolvimento de Filmes à Base de Carbono., Caracterização mecânico-tribológico., Caracterização químico-estrutural., Desenvolvimento de Filmes Tribológicos., Caracterização mecânico-tribológico., Análise de desgaste em ferramentas de corte., Desenvolvimento de Filmes à Base de Carbono., Caracterização mecânico-tribológico., Caracterização químico-estrutural., Análise de falhas, Análise de desgaste abrasivo, Desenvolvimento de chassi para veículos leves",0,0,0,"Tribologia, Metalurgia de Transformação, Metrologia, Gerência de Produção, Metrologia, Projetos de Máquinas"
4898243096964817,Fabio Luis Rodrigues,,0,0,0,Química Orgânica
4905139909887604,Alcyr Silva Lacerda,,0,0,0,", Sistemas Elétricos de Potência, Sistemas Elétricos de Potência, Probabilidade"
4906870221880360,Alexandre Morais de Oliveira,"Climatizadores Evaporativos Portáteis, Ar Condicionado Híbrido",0,0,0,"Áreas Clássicas de Fenomenologia e suas Aplicações, Máquinas Térmicas, Aproveitamento de Energia"
4910607492644260,Thiago Cotta Ribeiro,Comportamento migratório de peixes de agua doce.,0,0,0,"Ecologia aquática, Ensino-Aprendizagem"
4910918320204632,Marina Leite Gonçalves,,0,0,0,
4919212799238503,Danielle Mendonça Okamoto,,0,0,0,"Telecomunicações, Telecomunicações, Telecomunicações"
4928635976581106,Daniel Alves Costa,,0,0,0,"Eletrônica Industrial, Sistemas e Controles Eletrônicos, Medidas Elétricas, Magnéticas e Eletrônicas; Instrumentação, Projetos de Máquinas, Eletrônica Industrial, Sistemas e Controles Eletrônicos, Sistemas Aeroespaciais, Processos de Fabricação"
4952174208936101,Margareth Cordeiro Franklim,Núcleo de Pesquisa e Estudos Afro-Brasileiros do Centro Federal de Educação Tecnológica de Minas Gerais (NEAB/CEFET-MG),0,0,0,", Literatura Brasileira, , "
4957496389166388,Fernando Castro de Oliveira,"Interação do Pósitron com a Matéria em Fase Condensada, Estudo dos Mecanismos Cinéticos e Prevenção à Corrosão, Preparação e Caracterização de Argilas Organofílicas",0,0,0,"Físico-Química, Físico-Química, Físico-Química, Metalurgia Física, Físico-Química"
4959334111626565,Glauciene de Oliveira,,0,0,0,"Modelagem, , DESIGN, , , Teatro"
4966670640225955,Christien Lana Rachid,,0,0,0,"Informática na Educação, Sistemas de Informação, Banco de Dados, Linguagens de Programação, Metodologia e Técnicas da Computação"
4977741812022422,Geordan Caldeira de Souza,,0,0,0,", Telecomunicações, "
